Name,Race,Gender,Level (PC=10),Health (PC=10),Magicka (PC=10),Stamina (PC=10)
Beitild,Nord,Female,6.0,91.0,67.0,67.0
Brina Merilis,Nord,Female,10.0,155.3,50.0,79.7
Horik Halfhand,Nord,Male,10.0,155.3,50.0,79.7
Babette,Breton,Female,10.0,125.0,15.0,95.0
Cicero,Imperial,Male,15.0,412.5,102.5,207.5
Dark Brotherhood Initiate,Nord,Male,10.0,550.0,140.0,320.0
Nazir,Redguard,Male,10.0,224.7,65.3,95.0
Fruki,Nord,Female,6.0,91.0,67.0,67.0
Irgnir,Nord,Female,6.0,91.0,67.0,67.0
Bodil,Nord,Female,6.0,91.0,67.0,67.0
Gjak,Nord,Male,6.0,91.0,67.0,67.0
Karl,Nord,Male,6.0,91.0,67.0,67.0
Leigelf,Nord,Male,6.0,91.0,67.0,67.0
Frida,Elder,Female,6.0,91.0,67.0,67.0
Alesan,Redguard,Male,1.0,50.0,0.0,50.0
Harlaug,Nord,Male,6.0,108.0,50.0,67.0
Rustleif,Nord,Male,6.0,95.0,60.0,70.0
Seren,Redguard,Female,6.0,95.0,60.0,70.0
Silus Vesuius,Imperial,Male,20.0,103.94,93.5,50.0
Captain Wayfinder,Nord,Male,4.0,80.0,50.0,65.0
Guthrum,Nord,Male,4.0,80.0,50.0,65.0
Ravam Verethi,Dark Elf,Male,4.0,80.0,50.0,65.0
Bulfrek,Nord,Male,6.0,91.0,67.0,67.0
Frorkmar Banner-Torn,Nord,Male,2.5,62.0,50.0,60.8
Gregor,Nord,Male,10.0,438.0,50.0,147.0
Skald,Elder,Male,10.0,155.3,50.0,79.7
Jod,Nord,Male,10.0,155.3,50.0,79.7
Madena,Breton,Female,15.0,167.0,143.0,50.0
Abelone,Nord,Female,4.0,75.0,60.0,60.0
Alding,Nord,Male,1.0,50.0,50.0,50.0
Erandur,Dark Elf,Male,15.0,325.0,50.0,230.0
Gjuk,Nord,Male,1.0,50.0,50.0,50.0
Irlof,Nord,Male,1.0,50.0,50.0,50.0
Karita,Nord,Female,6.0,89.0,72.0,64.0
Stig Salt-Plank,Nord,Male,1.0,50.0,50.0,50.0
Thoring,Nord,Male,6.0,91.0,67.0,67.0
Borgny,Nord,Male,6.0,91.0,67.0,67.0
Edith,Nord,Female,6.0,91.0,67.0,67.0
Fenrik,Nord,Male,10.0,140.0,65.3,79.7
Harald,Nord,Male,6.0,91.0,67.0,67.0
Lond,Nord,Male,6.0,91.0,67.0,67.0
Indara Caerellia,Imperial,Female,4.0,85.0,50.0,60.0
Mathies,Nord,Male,4.0,75.0,60.0,60.0
Arcturus,Imperial,Male,12.0,166.5,86.5,87.0
Arnbjorn,Nord,Male,10.0,224.7,65.3,145.0
Astrid,Nord,Female,10.0,324.7,65.3,295.0
Festus Krex,Elder,Male,10.0,174.7,310.3,50.0
Gabriella,Dark Elf,Female,10.0,224.7,90.3,95.0
Veezara,Argonian,Male,10.0,424.7,65.3,95.0
Delacourt,Breton,Male,4.0,80.0,50.0,65.0
Narri,Nord,Female,4.0,75.0,60.0,60.0
Valdr,Nord,Male,10.0,149.0,50.0,86.0
Valga Vinicia,Imperial,Female,4.0,75.0,60.0,60.0
Dengeir of Stuhn,Nord,Male,4.0,85.0,50.0,60.0
Tekla,Nord,Female,4.0,75.0,60.0,60.0
Thadgeir,Nord,Male,4.0,85.0,50.0,60.0
Sinding,Nord,Male,1.0,50.0,50.0,50.0
Zaria,Redguard,Female,5.0,50.0,50.0,50.0
Bolund,Nord,Male,4.0,85.0,50.0,60.0
Solaf,Nord,Male,4.0,75.0,60.0,60.0
Kust,Nord,Male,4.0,75.0,60.0,60.0
Runil,High Elf,Male,4.0,75.0,50.0,70.0
Helvard,Nord,Male,4.0,85.0,50.0,60.0
