Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,82.74
Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,40.24
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,35.82
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,33.0
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,31.37
Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,30.26
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,30.01
Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,29.02
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,28.62
Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,28.31
Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,24.76
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,23.42
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,23.1
Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,22.72
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,22.0
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,21.82
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,21.4
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,20.81
Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,20.22
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,18.36
Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,18.14
