Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Pirates: Hunt For Blackbeard's Booty,Wii,2008.0,Adventure,Activision,0.08,0.08,0.0,0.18
FIFA Soccer 2002,GC,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.18
Godzilla (2015),PS4,2014.0,Action,Namco Bandai Games,0.1,0.03,0.02,0.18
Race Pro,X360,2009.0,Racing,Atari,0.06,0.09,0.0,0.18
Atari Anniversary Edition Redux,PS,2000.0,Misc,Infogrames,0.1,0.07,0.0,0.18
Toukiden: The Age of Demons,PSP,2013.0,Action,Tecmo Koei,0.0,0.0,0.18,0.18
Fireblade,PS2,2002.0,Action,Midway Games,0.09,0.07,0.0,0.18
Mercury Meltdown Revolution,Wii,2007.0,Action,Ignition Entertainment,0.16,0.0,0.0,0.18
Disney's Tarzan Untamed,GC,2001.0,Platform,Ubisoft,0.14,0.04,0.0,0.18
WordJong Party,Wii,2008.0,Puzzle,Destineer,0.17,0.0,0.0,0.18
Brunswick Circuit Pro Bowling,PS,1998.0,Sports,THQ,0.1,0.07,0.0,0.18
Cabela's Dangerous Hunts 2009,PS2,2008.0,Sports,Activision Value,0.09,0.07,0.0,0.18
Velvet Assassin,X360,2009.0,Shooter,DTP Entertainment,0.14,0.02,0.01,0.18
Ball Breakers,PS,2000.0,Action,Take-Two Interactive,0.1,0.07,0.0,0.18
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005.0,Action,Namco Bandai Games,0.0,0.0,0.18,0.18
EyeToy: Groove,PS2,2003.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.18
Disgaea 4: A Promise Unforgotten,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.04,0.04,0.08,0.18
Charlie and the Chocolate Factory,GC,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.18
Armored Core: Last Raven,PS2,2005.0,Simulation,505 Games,0.05,0.04,0.08,0.18
Tomb Raider: Underworld,PS2,2009.0,Action,Eidos Interactive,0.09,0.04,0.0,0.18
All Grown Up! Express Yourself,GBA,2004.0,Misc,THQ,0.13,0.05,0.0,0.18
College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.18
K-1 World Grand Prix,PS2,2002.0,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.18
Skate it,DS,2008.0,Sports,Electronic Arts,0.14,0.02,0.0,0.18
Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.18
Super Robot Taisen A Portable,PSP,2008.0,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.18
Juiced,XB,2005.0,Racing,THQ,0.13,0.04,0.0,0.18
Looney Tunes: Back in Action,GBA,2003.0,Platform,Electronic Arts,0.13,0.05,0.0,0.18
Virtua Tennis,GBA,2002.0,Sports,Atari,0.13,0.05,0.0,0.18
Tales of the Tempest,DS,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.18
SimCity Creator (JP sales),DS,2008.0,Simulation,Electronic Arts,0.0,0.0,0.18,0.18
Biohazard: Revival Selection,PS3,2011.0,Action,Capcom,0.0,0.0,0.18,0.18
Sonic Riders: Zero Gravity,PS2,2008.0,Racing,Sega,0.09,0.07,0.0,0.18
Driver: San Francisco,Wii,2011.0,Racing,Ubisoft,0.06,0.09,0.0,0.18
UFC: Sudden Impact,PS2,2004.0,Fighting,Global Star,0.09,0.07,0.0,0.18
Shawn Johnson Gymnastics,Wii,2010.0,Sports,Zoo Games,0.17,0.0,0.0,0.18
NBA Hoopz,PS2,2001.0,Sports,Midway Games,0.09,0.07,0.0,0.18
Captain America: Super Soldier,X360,2011.0,Action,Sega,0.11,0.05,0.0,0.18
TRON: Evolution,DS,2010.0,Action,Disney Interactive Studios,0.12,0.04,0.0,0.18
Pac-Man World 3,DS,2005.0,Platform,Namco Bandai Games,0.16,0.0,0.0,0.18
ESPN X Games Skateboarding,GBA,2001.0,Sports,Konami Digital Entertainment,0.13,0.05,0.0,0.18
Nancy Drew: The Hidden Staircase,DS,2008.0,Adventure,THQ,0.16,0.0,0.0,0.18
Brunswick Cosmic Bowling,Wii,2010.0,Sports,GameMill Entertainment,0.17,0.0,0.0,0.18
Star Wars: Battlefront II,PC,2005.0,Shooter,LucasArts,0.02,0.13,0.0,0.18
Speedball 2100,PS,2000.0,Sports,Empire Interactive,0.1,0.07,0.0,0.18
LEGO Island 2: The Brickster's Revenge,PS,2001.0,Adventure,LEGO Media,0.1,0.07,0.0,0.18
College Hoops 2K8,X360,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.18
FIFA 17,X360,2016.0,Sports,Electronic Arts,0.03,0.13,0.0,0.18
Fancy Nancy: Tea Party Time!,DS,2010.0,Adventure,THQ,0.17,0.0,0.0,0.18
Backyard Basketball,GBA,2004.0,Sports,Atari,0.13,0.05,0.0,0.18
Madden NFL 09,XB,2008.0,Sports,Electronic Arts,0.13,0.04,0.0,0.18
Scooby-Doo! Unmasked,GBA,2005.0,Platform,THQ,0.13,0.05,0.0,0.18
Summon Night 4,PS2,2006.0,Role-Playing,Banpresto,0.0,0.0,0.18,0.18
Pro Yaky? Spirits 5,PS2,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.18
NHL 2004,XB,2003.0,Sports,Electronic Arts,0.13,0.04,0.0,0.18
Namco Museum: 50th Anniversary,XB,2005.0,Misc,Namco Bandai Games,0.13,0.04,0.0,0.18
You Don't Know Jack,PS3,2011.0,Misc,THQ,0.16,0.0,0.0,0.18
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010.0,Action,THQ,0.12,0.03,0.0,0.18
