Name,Race,Gender,Level (PC=10),Health (PC=10),Magicka (PC=10),Stamina (PC=10)
Wulfgar,Elder,Male,100.0,875.0,50.0,710.0
Gunjar,Nord,Male,6.0,108.0,50.0,67.0
Llewellyn the Nightingale,Nord,Male,7.5,101.0,77.5,69.0
Curwe,High Elf,Female,6.0,91.0,67.0,67.0
Vantus Loreius,Imperial,Male,6.0,91.0,67.0,67.0
Gilfre,Imperial,Female,4.0,75.0,60.0,60.0
Balagog gro-Nolob,Orc,Male,6.0,1.0,50.0,75.0
Fultheim,Nord,Male,4.0,85.0,50.0,60.0
Hadring,Nord,Male,4.0,85.0,50.0,60.0
Eydis,Nord,Female,6.0,91.0,67.0,67.0
Ghost of Old Hroldan,Nord,Male,25.0,330.0,50.0,130.0
Leontius Salvius,Imperial,Male,6.0,91.0,67.0,67.0
Skuli,Nord,Male,4.0,65.0,0.0,80.0
Aduri Sarethi,Dark Elf,Female,6.0,91.0,67.0,67.0
Avrusa Sarethi,Dark Elf,Female,10.0,124.7,79.7,79.7
Imperial Soldier,Nord,Male,1.0,50.0,50.0,50.0
Perth,Breton,Male,6.0,91.0,67.0,67.0
Tuthul,Breton,Male,6.0,91.0,67.0,67.0
Gissur,Nord,Male,4.0,75.0,60.0,60.0
Razelan,Redguard,Male,4.0,75.0,60.0,60.0
Rulindil,High Elf,Male,10.0,124.7,95.0,65.3
Tsavani,Khajiit,Female,4.0,75.0,60.0,60.0
Angvid,Nord,Male,4.0,85.0,50.0,60.0
Badnir,Nord,Male,1.0,50.0,50.0,50.0
Gunding,Nord,Male,4.0,85.0,50.0,60.0
Thorgar,Nord,Male,4.0,85.0,50.0,60.0
Engar,Nord,Male,6.0,108.0,50.0,67.0
Sonir,Nord,Female,7.5,101.0,77.5,69.0
Adventurer,Radiant,Male,13.0,262.0,25.0,158.0
Garuk Windrime,Nord,Male,13.0,262.0,25.0,158.0
Haknir Death-Brand (ghost),Nord,Male,40.0,1171.5,50.0,276.0
Thalin Ebonhand,Nord,Male,13.0,238.0,197.0,100.0
Ralis Sedarys,Dark Elf,Male,15.0,378.5,196.0,123.0
Merilar Rendas,Dark Elf,Female,10.0,383.5,250.0,116.5
Benkum,Nord,Male,1.0,50.0,50.0,50.0
Hjalfar,Nord,Male,8.0,127.0,50.0,78.0
Liesl,Nord,Female,1.0,50.0,50.0,50.0
Palevius Lex,Elder,Male,1.0,50.0,50.0,50.0
Hermaeus Mora,Orc,Male,1.0,50.0,50.0,50.0
Miraak,Nord,Male,35.0,983.5,479.0,402.5
Ahjisi,Khajiit,Female,13.0,262.0,25.0,158.0
Eriana,Redguard,Female,13.0,262.0,25.0,158.0
Heratar,Nord,Male,13.0,262.0,25.0,158.0
J'Kier,Khajiit,Male,1.0,1.0,50.0,50.0
Ra'kheran,Khajiit,Male,13.0,262.0,25.0,158.0
Rissing,Nord,Male,13.0,262.0,25.0,158.0
Torkild the Fearsome,Nord,Male,13.0,262.0,25.0,158.0
Tsrasuna,Khajiit,Female,13.0,262.0,25.0,158.0
Yar gro-Gatuk,Orc,Male,13.0,262.0,25.0,158.0
Alvide,Nord,Female,1.0,50.0,50.0,50.0
Jayri,Redguard,Female,1.0,50.0,50.0,50.0
Ollrod,Nord,Male,10.0,149.0,50.0,86.0
Sern,Elder,Male,1.0,50.0,50.0,50.0
Tilde,Nord,Female,10.0,149.0,50.0,86.0
Vori,Nord,Female,10.0,149.0,50.0,86.0
Arch-Curate Vyrthur,Snow Elf,Male,15.0,410.4,205.2,50.0
